,text_unique,count_text,lat,lon
178,viel,3,39.08,-31.189
179,eindrücke,1,38.674,-31.691999999999997
180,einfach,1,38.260999999999996,-32.189
181,vergißt,1,37.841,-32.681
182,noch,5,37.416,-33.167
183,gar,2,36.984,-33.648
184,nichts,4,36.546,-34.124
185,marschierte,1,36.101,-34.593
186,stramm,1,35.650999999999996,-35.056999999999995
187,beinchen,1,35.195,-35.515
188,zwischen,1,34.733000000000004,-35.967
189,beiden,1,34.265,-36.413000000000004
190,großen,1,33.791,-36.853
191,sah,5,33.312,-37.287
192,herrlich,1,32.827,-37.714
193,hohen,1,32.336999999999996,-38.135999999999996
194,bäume,1,31.840999999999998,-38.55
195,pieksenadeln,1,31.34,-38.959
196,zwinger,2,30.834,-39.361
197,einem,2,30.323,-39.756
198,stand,4,29.805999999999997,-40.145
199,unten,2,29.285,-40.527
200,treppe,2,28.758000000000003,-40.902
201,hielt,5,28.226999999999997,-41.27
202,arme,1,27.691,-41.632
203,große,1,27.151,-41.986000000000004
204,tür,5,26.605999999999998,-42.333999999999996
205,weiten,1,26.055999999999997,-42.674
206,balkon,1,25.502,-43.007
207,langes,2,24.944000000000003,-43.333999999999996
208,wasser,2,24.381999999999998,-43.652
209,dampfer,2,23.815,-43.964
210,um,1,23.245,-44.268
211,waldecke,1,22.671,-44.565
212,kahn,1,22.093000000000004,-44.854
213,zwei,2,21.511,-45.136
214,kähne,2,20.926,-45.411
215,viele,3,20.337,-45.677
216,wurde,4,19.745,-45.93600000000001
217,abend,2,19.149,-46.188
218,bett,2,18.55,-46.431000000000004
219,müde,1,17.949,-46.667
220,aufgeregt,1,17.344,-46.896
221,mutter,6,16.736,-47.11600000000001
222,bettleiter,1,16.125999999999998,-47.328
223,hob,1,15.512,-47.533
224,ernst,2,14.897,-47.729
225,fährt,2,14.277999999999999,-47.918
226,puffbahn,1,13.658,-48.099
227,kommt,2,13.035,-48.271
228,morgen,4,12.409,-48.43600000000001
229,kind,21,11.782,-48.592
230,fragend,1,11.152999999999999,-48.74
231,erst,1,10.522,-48.88
232,licht,1,9.889,-49.012
233,ausgemacht,1,9.255,-49.136
234,bat,1,8.619,-49.251999999999995
235,wieder,5,7.981,-49.358999999999995
236,dringend,1,7.343,-49.458
237,muß,3,6.702999999999999,-49.549
238,jetzt,2,6.061,-49.631
239,streng,1,5.419,-49.705
240,von,1,4.776,-49.771
241,außen,1,4.132,-49.82899999999999
242,zu,7,3.488,-49.878
243,standen,2,2.843,-49.919
244,atemlos,1,2.197,-49.952
245,lauschten,1,1.551,-49.976000000000006
246,nein,3,0.905,-49.992
247,kein,5,0.259,-49.998999999999995
248,gebrüll,2,-0.38799999999999996,-49.998000000000005
249,weinen,3,-1.034,-49.989
250,stille,1,-1.68,-49.972
251,wird,3,-2.326,-49.946000000000005
252,sich,3,-2.972,-49.912
253,beruhigen,1,-3.617,-49.869
254,besser,1,-4.261,-49.818000000000005
255,ist,2,-4.905,-49.75899999999999
256,du,6,-5.547999999999999,-49.691
257,gehst,1,-6.19,-49.615
258,machst,1,-6.831,-49.531000000000006
259,verlustanzeige,2,-7.47,-49.43899999999999
260,schön,1,-8.109,-49.338
261,mann,7,-8.746,-49.229
262,obgleich,1,-9.382,-49.111999999999995
263,keinen,1,-10.016,-48.986999999999995
264,zweck,1,-10.648,-48.853
265,denn,1,-11.279000000000002,-48.711000000000006
266,weiter,1,-11.908,-48.56100000000001
267,polen,1,-12.535,-48.403
268,werden,2,-13.159,-48.236999999999995
269,uns,1,-13.782,-48.063
270,gerade,1,-14.402000000000001,-47.881
271,zurückschicken,1,-15.02,-47.691
272,am,8,-15.635,-47.493
273,nächsten,1,-16.248,-47.286
274,nachmittagsschlaf,2,-16.858,-47.071999999999996
275,bald,1,-17.465,-46.851000000000006
